date_time,return
s0d1001,0.020568229
s1d1001,-0.007208777
s2d1001,0.017325361
s3d1001,0.029526253
s4d1001,0.049464711
s5d1001,0.058893101
s6d1001,0.016131604
s7d1001,0.059342714
s8d1001,0.035704691
s9d1001,0.009942019
s10d1001,0.039878762
s11d1001,0.0472431
s12d1001,0.024596418
s13d1001,0.019687547
s14d1001,0.055006316
s15d1001,0.079248624
s16d1001,0.018330862
s17d1001,0.03425218
s18d1001,0.086891994
s19d1001,0.060134008
s20d1001,-0.008495061
s21d1001,0.044528138
s22d1001,0.021182321
s23d1001,0.077148506
s24d1001,0.010269389
s25d1001,0.029620811
s26d1001,0.032410939
s27d1001,0.047841127
s28d1001,0.036445826
s29d1001,0.049346533
s30d1001,0.079852935
s31d1001,0.054046395
s32d1001,0.031744734
s33d1001,0.048630209
s34d1001,0.008629261
s35d1001,0.009172008
s36d1001,0.033554297
s37d1001,0.038673243
s38d1001,-0.021141663
s39d1001,0.012181951
s40d1001,0.071576946
s41d1001,0.022388322
s42d1001,0.058448612
s43d1001,0.058546839
s44d1001,0.026296157
s45d1001,0.025847153
s46d1001,0.043859735
s47d1001,0.028504002
s48d1001,0.034971436
s49d1001,0.034481289
s50d1001,0.045258831
s51d1001,0.047128988
s52d1001,0.031728951
s53d1001,0.031326617
s0d1002,0.01154511
s1d1002,0.040064166
s2d1002,0.027256773
s3d1002,0.029223514
s4d1002,-0.003796016
s5d1002,0.023606883
s6d1002,0.006329279
s7d1002,0.035408888
s8d1002,0.02900483
s9d1002,0.046872737
s10d1002,0.034912061
s11d1002,0.030679648
s12d1002,0.015600715
s13d1002,0.013630942
s14d1002,0.028710334
s15d1002,0.064134707
s16d1002,0.011498918
s17d1002,0.033675451
s18d1002,0.015693865
s19d1002,0.030035008
s20d1002,-0.001873819
s21d1002,0.043034757
s22d1002,0.035075531
s23d1002,0.057176976
s24d1002,0.010174374
s25d1002,0.028835124
s26d1002,0.024725071
s27d1002,0.003536499
s28d1002,0.013716661
s29d1002,0.026152905
s30d1002,0.031157192
s31d1002,0.043169021
s32d1002,0.073359841
s33d1002,0.03548283
s34d1002,0.012860772
s35d1002,-0.003983663
s36d1002,0.029118146
s37d1002,0.017250853
s38d1002,-0.026604523
s39d1002,0.01520008
s40d1002,0.067781758
s41d1002,0.031442956
s42d1002,0.019115114
s43d1002,-0.000818805
s44d1002,0.035070594
s45d1002,0.031839112
s46d1002,-0.001445217
s47d1002,0.022300804
s48d1002,0.026105514
s49d1002,0.021740029
s50d1002,0.012742697
s51d1002,0.042346501
s52d1002,0.010790502
s53d1002,0.013056693
s0d1003,0.021110391
s1d1003,0.035913292
s2d1003,0.023048284
s3d1003,0.014350469
s4d1003,0.014010894
s5d1003,0.003474907
s6d1003,0.006329279
s7d1003,0.014744462
s8d1003,0.043478261
s9d1003,0.078736965
s10d1003,0.02589278
s11d1003,0.007615977
s12d1003,0.007063314
s13d1003,0.018601322
s14d1003,0.050550538
s15d1003,0.036712157
s16d1003,0.013092782
s17d1003,0.016558911
s18d1003,0.029548712
s19d1003,0.023879496
s20d1003,-0.009508505
s21d1003,0.025222061
s22d1003,0.024447252
s23d1003,0.043760448
s24d1003,0.01755842
s25d1003,0.061757802
s26d1003,0.020180843
s27d1003,0.034164383
s28d1003,0.026806127
s29d1003,0.009835703
s30d1003,-0.017968879
s31d1003,0.025637579
s32d1003,0.086537014
s33d1003,0.012155721
s34d1003,0.008537831
s35d1003,0.026462123
s36d1003,-0.003913475
s37d1003,0.01519695
s38d1003,-0.007197232
s39d1003,0.0
s40d1003,0.016953608
s41d1003,0.027112703
s42d1003,0.003533603
s43d1003,-0.019377499
s44d1003,0.035103764
s45d1003,0.014180809
s46d1003,0.058097475
s47d1003,0.030442773
s48d1003,0.031807908
s49d1003,0.018330862
s50d1003,-0.002063887
s51d1003,0.051445071
s52d1003,0.02076424
s53d1003,-0.00116457
s0d1004,-0.002853335
s1d1004,-0.028505056
s2d1004,-0.013266777
s3d1004,-0.007749548
s4d1004,-0.010164772
s5d1004,-0.001149797
s6d1004,-0.012604933
s7d1004,-0.00537299
s8d1004,0.013360225
s9d1004,0.026114356
s10d1004,0.019681574
s11d1004,-0.018891682
s12d1004,-0.018157132
s13d1004,-0.021562065
s14d1004,0.0
s15d1004,0.006764152
s16d1004,-0.006486559
s17d1004,-0.003273937
s18d1004,0.035403939
s19d1004,-0.001465166
s20d1004,-0.037670861
s21d1004,0.005594172
s22d1004,-0.010816494
s23d1004,-0.015088552
s24d1004,-0.002746196
s25d1004,0.020503551
s26d1004,-0.009873621
s27d1004,0.015701098
s28d1004,-0.014249853
s29d1004,-0.008175207
s30d1004,-0.019917501
s31d1004,0.03219697
s32d1004,0.02427857
s33d1004,-0.02403379
s34d1004,-0.010572518
s35d1004,-0.005598556
s36d1004,-0.026030429
s37d1004,-0.012059862
s38d1004,-0.040192852
s39d1004,-0.005993932
s40d1004,-0.039060929
s41d1004,-0.012198798
s42d1004,-0.015240928
s43d1004,-0.004910111
s44d1004,-0.001833312
s45d1004,-0.006166247
s46d1004,0.019944764
s47d1004,-0.006675984
s48d1004,0.011737203
s49d1004,-0.004092337
s50d1004,0.014672228
s51d1004,0.021857783
s52d1004,-0.003954784
s53d1004,-0.049180486
s0d1005,0.015037012
s1d1005,0.016753214
s2d1005,0.042116857
s3d1005,0.007709088
s4d1005,0.076642034
s5d1005,0.027712505
s6d1005,0.006315461
s7d1005,0.015008977
s8d1005,0.012937973
s9d1005,0.021904504
s10d1005,0.043918477
s11d1005,-0.003491814
s12d1005,0.015425679
s13d1005,-0.000925556
s14d1005,0.009019054
s15d1005,0.051018945
s16d1005,0.011313121
s17d1005,0.019536282
s18d1005,0.076049748
s19d1005,0.030612367
s20d1005,0.079726489
s21d1005,0.014898531
s22d1005,0.020968732
s23d1005,0.035581936
s24d1005,0.012720837
s25d1005,0.028418496
s26d1005,0.016486203
s27d1005,-0.00648353
s28d1005,0.00385198
s29d1005,0.038965488
s30d1005,0.005629606
s31d1005,0.047727826
s32d1005,0.038940208
s33d1005,-0.004892583
s34d1005,0.004241504
s35d1005,-0.010156641
s36d1005,0.02126683
s37d1005,0.005987784
s38d1005,-0.001613192
s39d1005,0.033128195
s40d1005,-0.002948113
s41d1005,0.025384956
s42d1005,0.023413307
s43d1005,0.04775601
s44d1005,0.026580883
s45d1005,0.017078381
s46d1005,-0.002353882
s47d1005,0.016753242
s48d1005,0.02698584
s49d1005,0.024554023
s50d1005,0.022724178
s51d1005,0.021415434
s52d1005,0.005869517
s53d1005,0.022220081
s0d1006,0.014315362
s1d1006,0.005948648
s2d1006,0.072711309
s3d1006,0.01821279
s4d1006,0.130939665
s5d1006,0.018475004
s6d1006,0.015977048
s7d1006,0.01915591
s8d1006,0.016103157
s9d1006,0.050914483
s10d1006,0.009192722
s11d1006,-0.006416881
s12d1006,0.029872261
s13d1006,0.013031408
s14d1006,0.055818112
s15d1006,0.066583123
s16d1006,0.009800094
s17d1006,0.022885144
s18d1006,0.078093499
s19d1006,0.020446208
s20d1006,0.095896816
s21d1006,0.006952382
s22d1006,0.024781875
s23d1006,0.017876495
s24d1006,0.020199269
s25d1006,0.045546849
s26d1006,0.018831086
s27d1006,-0.005995712
s28d1006,0.008250252
s29d1006,0.045818587
s30d1006,-0.004203015
s31d1006,0.028954128
s32d1006,0.015804473
s33d1006,0.013223836
s34d1006,0.010685491
s35d1006,-0.00348539
s36d1006,0.024401778
s37d1006,0.01182374
s38d1006,0.018422941
s39d1006,0.027122934
s40d1006,0.007116663
s41d1006,0.016460278
s42d1006,0.039290303
s43d1006,0.059232399
s44d1006,0.048622869
s45d1006,0.020187031
s46d1006,0.018946246
s47d1006,0.039442539
s48d1006,0.019345689
s49d1006,0.022190781
s50d1006,0.023762511
s51d1006,0.033634829
s52d1006,0.011512448
s53d1006,0.06649689
s0d1007,-0.035181936
s1d1007,-0.033333123
s2d1007,0.008927707
s3d1007,0.003825056
s4d1007,0.075838997
s5d1007,-0.013477987
s6d1007,-0.006275826
s7d1007,-0.02194472
s8d1007,-0.014186718
s9d1007,0.037500184
s10d1007,-0.015215996
s11d1007,-0.011665745
s12d1007,0.002765166
s13d1007,-0.031698195
s14d1007,-0.016391229
s15d1007,0.042835096
s16d1007,-0.019175089
s17d1007,0.015977048
s18d1007,-0.0101549
s19d1007,0.087687611
s20d1007,0.028468603
s21d1007,-0.033457845
s22d1007,-0.010624953
s23d1007,-0.027000253
s24d1007,-0.006280525
s25d1007,-0.01349627
s26d1007,0.003241982
s27d1007,-0.019267744
s28d1007,-0.024325681
s29d1007,-0.017379591
s30d1007,-0.007696654
s31d1007,-0.010847809
s32d1007,-0.018736842
s33d1007,-0.015199225
s34d1007,-0.002103104
s35d1007,-0.02946474
